shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
6749519,CHUCK-A-BALL,SPORTING GOODS,6,43.0,18744,19.0,,,28.99,,,,,,,,,,,,,,,,,,,36.99,,28.99,
6801530,VIRGINIA CAVALIERS NCAA FOREVER COLLECTI,SPORTING GOODS,6,70.0,62168,17.5,24.99,,,,,,,,,,,,,,,,,,,24.99,,,,24.99,0.299719887955
7055665,SHIMANO ACERA FD-M390 FRONT DERAILLEUR,SPORTING GOODS,6,3.0,72806,15.99,,,21.03,,,,,,,,,,,,,,,,,,21.03,,,21.03,
7182455,URBAN SPIRIT 400W ELECTRIC SKATEBOARD,SPORTING GOODS,6,15.0,83681,320.0,524.99,,359.99,,359.99,648.99,,,,525.0,,,,,,,,,524.99,649.99,,,,359.99,0.390464580278
73134350,OLY BENCH WITH LEG DEVELOPER00611730000,SPORTING GOODS,6,8.0,11730,260.0,313.59,,,,,434.99,,,,,,,,,,,,,,,,,,434.99,0.170891928952
7404814,FRANKLIN SPORTS SHOK-PRO BATTING GLOVE B,SPORTING GOODS,6,64.0,96377,21.95,,,,,,,,,,,,,,,,,,,,,23.11,,,23.11,
7426487,BLADE MEDIC PS-MED01,SPORTING GOODS,6,75.0,42087,6.74,8.99,,8.99,,,14.99,,,,,,,,,,,,,,,,,,8.99,0.250278086763
7459119,BOWLING SHOE OFFENSE SLIDER,SPORTING GOODS,6,64.0,51766,5.25,11.35,,11.35,,,,,,,,,,,,,,,,,,,,,11.35,0.537444933921
78233211,RAZOR V17 YOUTH HELMPINK,SPORTING GOODS,6,15.0,95001,10.5,,,11.13,,,,,,,,,,,,,,,,13.59,29.99,,,,11.13,
7887995,FRANKLIN SPORTS MLB FLEX PRO STEEL BATTI,SPORTING GOODS,6,64.0,96365,19.85,23.35,,,,,,,,,,,,,,,,,,19.99,19.99,20.89,,,19.99,0.149892933619
7959927,KOOLER C SINGLE,SPORTING GOODS,6,64.0,11917,17.5,32.95,,32.95,,,34.99,,,,,,,,,,,,,,,,,,32.95,0.468892261002
8050967,FRANKLIN SPORTS CLASSIC SERIES 6 PLAYER,SPORTING GOODS,6,43.0,66034,48.2,56.71,,48.99,,,,,,,59.99,,,,,,,,,48.99,72.99,48.99,89.99,,48.99,0.15006171751
8079407,12 RETRO BIKE - PINK,SPORTING GOODS,6,2.0,66458,75.0,99.99,,99.99,,,,,,,,,,,,,,,,99.99,149.99,,,,99.99,0.249924992499
