shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
7461868,100 CASEIN CHOCOLATE SUPREME 4 POUNDS,HEALTH AND BEAUTY,13,80.0,77105,64.71,90.99,,48.23,,,,,,,,,,,,,,,,,,,,,48.23,0.288822947577
7461929,100 WHEY EXTREME MILK CHOCOLATE 2 POUN,HEALTH AND BEAUTY,13,80.0,77077,33.76,47.99,,29.29,,,,,,,,,,,,,,,,,,,,,29.29,0.296520108356
7461930,100 WHEY STRAWBERRY BANANA 2 POUNDS,HEALTH AND BEAUTY,13,80.0,77078,33.76,,,29.99,,,,,,,,,,,,,,,,,,,,,29.99,
7462036,CREATINE 2500 CAPS 200 CAPSULES,HEALTH AND BEAUTY,13,80.0,77115,23.15,,,20.54,,,,,,,,,,,,,,,,,,,,,20.54,
7462165,100 WHEY FRENCH VANILLA CR ME 5 POUNDS,HEALTH AND BEAUTY,13,80.0,77165,66.48,93.99,,56.79,,,,,,,,,,,,,,,,,,,,,56.79,0.292690711778
7462166,100 WHEY STRAWBERRY BANANA 5 POUNDS,HEALTH AND BEAUTY,13,80.0,77166,66.48,,,57.94,,,,,,,,,,,,,,,,,,,,,57.94,
7462264,GLUTAMINE 1000 CAPS 60 CAPSULES,HEALTH AND BEAUTY,13,80.0,77204,11.16,15.99,,6.84,,,,,,,,,,,,,,,,,,,,,6.84,0.302063789869
7462265,100 WHEY VANILLA ICE CREAM 5 POUNDS,HEALTH AND BEAUTY,13,80.0,77205,66.48,,,56.79,,,,,,,,,,,,,,,,,,,,,56.79,
7462322,GLUTAMINE 1000 CAPS 120 CAPSULES,HEALTH AND BEAUTY,13,80.0,77270,16.61,23.99,,13.68,,,,,,,,,,,,,,,,,,,,,13.68,0.307628178408
7462380,100 WHEY DELICIOUS STRAWBERRY 10 POUND,HEALTH AND BEAUTY,13,80.0,77246,120.82,169.99,,111.99,,,,,,,,,,,,,,,,,,,,,111.99,0.289252308959
7462381,100 WHEY MOCHA CAPPUCCINO 5 POUNDS,HEALTH AND BEAUTY,13,80.0,77247,66.48,93.99,,56.97,,,,,,,,,,,,,,,,,,,,,56.97,0.292690711778
7462382,100 CASEIN CREAMY VANILLA 4 POUNDS,HEALTH AND BEAUTY,13,80.0,77248,64.71,90.99,,53.79,,,,,,,,,,,,,,,,,,,,,53.79,0.288822947577
7462517,100 WHEY ROCKY ROAD 2 POUNDS,HEALTH AND BEAUTY,13,80.0,77289,33.76,47.99,,29.99,,,,,,,,,,,,,,,,,,,,,29.99,0.296520108356
7462518,100 WHEY BANANA CREAM 2 POUNDS,HEALTH AND BEAUTY,13,80.0,7729,33.76,47.99,,29.98,,,,,,,,,,,,,,,,,,,,,29.98,0.296520108356
7462562,100 WHEY DOUBLE RICH CHOCOLATE 2 POUND,HEALTH AND BEAUTY,13,80.0,77341,30.71,42.99,,29.59,,,,,,,,,,,,,,,,,,,,,29.59,0.285647825076
7462573,100 WHEY DELICIOUS STRAWBERRY 5 POUNDS,HEALTH AND BEAUTY,13,80.0,77351,66.48,93.99,,56.79,,,,,,,,,,,,,,,,,,,,,56.79,0.292690711778
7462630,ORGANIC RICE PROTEIN CHOCOLATE POWER 1,HEALTH AND BEAUTY,13,80.0,77334,20.24,,,21.62,,,,,,,,,,,,,,,,,,,,,21.62,
7462666,MUSCLE MILK STRAWBERRY BANANA 2.47 POU,HEALTH AND BEAUTY,13,80.0,77384,36.97,,,27.99,,,,,,,,,,,,,,,,,,,,,27.99,
7462675,100 WHEY BANANA CREAM 5 POUNDS,HEALTH AND BEAUTY,13,80.0,77392,66.48,93.99,,56.97,,,,,,,,,,,,,,,,,,,,,56.97,0.292690711778
7462721,PRO COMPLEX GAINER DOUBLE CHOCOLATE 5.,HEALTH AND BEAUTY,13,80.0,77367,49.64,69.99,,38.84,,,,,,,,,,,,,,,,,,,,,38.84,0.29075582226
7462819,100 WHEY DOUBLE RICH CHOCOLATE 5 POUND,HEALTH AND BEAUTY,13,80.0,77405,60.16,84.99,,56.79,,,,,,,,,,,,,,,,,,,,,56.79,0.292152017884
7462873,MICRONIZED CREATINE POWDER UNFLAVORED,HEALTH AND BEAUTY,13,80.0,77452,19.88,27.99,,14.43,,,,,,,,,,,,,,,,,,,,,14.43,0.289746337978
7462874,100 CASEIN CHOCOLATE SUPREME 2 POUNDS,HEALTH AND BEAUTY,13,80.0,77453,40.01,56.99,,32.99,,,,,,,,,,,,,,,,,,,,,32.99,0.297947008247
7514481,SEA BUCKTHORN HYDRATING SERUM 1 OUNCE,HEALTH AND BEAUTY,13,65.0,77521,21.93,30.99,,16.49,,,,,,,,,,,,,,,,,,,,,16.49,0.292352371733
7514488,SEA BUCKTHORN FACIAL CREAM 1 OUNCE,HEALTH AND BEAUTY,13,65.0,77527,14.44,20.99,,13.96,,,,,,,,,,,,,,,,,,,,,13.96,0.312053358742
7514498,LILAC 4 OUNCES,HEALTH AND BEAUTY,13,65.0,77536,6.72,,,26.94,,,,,,,,,,,,,,,,,,,,,26.94,
7514505,PURE JOJOBA OIL 4 OUNCES,HEALTH AND BEAUTY,13,65.0,77541,12.98,,,17.39,,,,,,,,,,,,,,,,,,,,,17.39,
7515359,PSORIASIS CONTROL 11 MILLILITERS,HEALTH AND BEAUTY,13,65.0,77570,14.17,,,17.14,,,,,,,,,,,,,,,,,,,,,17.14,
7515380,PROGESTACARE FOR WOMEN 2 OUNCES,HEALTH AND BEAUTY,13,65.0,7759,17.42,24.99,,17.99,,,,,,,,,,,,,,,,,,,,,17.99,0.302921168467
7515474,LEMON MYRTLE BODY LOTION 8 OUNCES,HEALTH AND BEAUTY,13,65.0,77611,8.83,,,12.02,,,,,,,,,,,,,,,,,,,,,12.02,
7515476,COCONUT AURA GLOW 8 OUNCES,HEALTH AND BEAUTY,13,65.0,77613,8.4,,,41.94,,,,,,,,,,,,,,,,,,,,,41.94,
7515603,RESVERATROL Q10 NIGHT REPAIR CREAM 1.7,HEALTH AND BEAUTY,13,65.0,77640,17.25,,,15.89,,,,,,,,,,,,,,,,,,,,,15.89,
7515604,GET STARTED AGE DEFYING KIT 5 PIECE,HEALTH AND BEAUTY,13,65.0,77641,14.46,,,14.02,,,,,,,,,,,,,,,,,,,,,14.02,
7515613,WILLOW BARK PURE PORE SERUM 1.1 OUNCES,HEALTH AND BEAUTY,13,65.0,77648,17.25,,,18.7,,,,,,,,,,,,,,,,,,,,,18.7,
7515617,SEA BUCKTHORN SEED FACIAL CREAM 1 OUNCE,HEALTH AND BEAUTY,13,65.0,77651,13.06,,,10.1,,,,,,,,,,,,,,,,,,,,,10.1,
7515621,VEGETABLE GLYCERIN 8 OUNCES,HEALTH AND BEAUTY,13,65.0,77655,8.72,,,6.89,,,,,,,,,,,,,,,,,,,,,6.89,
7515708,3PAK CASTILE BAR SOAP 4OZ 3 PAK,HEALTH AND BEAUTY,13,65.0,77682,6.91,9.99,,,,,,,,,,,,,,,,,,,,3.28,,,3.28,0.308308308308
7515711,ECZEMA CLEANSE BAR 3.5 OZ,HEALTH AND BEAUTY,13,65.0,77685,8.83,12.99,,8.29,,,,,,,,,,,,,,,,,,,,,8.29,0.320246343341
7515714,KUKUI COCOA NOURISHING BODY BUTTER 8 OU,HEALTH AND BEAUTY,13,65.0,77688,11.08,15.99,,11.19,,,,,,,,,,,,,,,,,,,,,11.19,0.307066916823
7515723,SEA BUCKTHORN BODY CREAM 6 OUNCES,HEALTH AND BEAUTY,13,65.0,77696,11.64,,,11.33,,,,,,,,,,,,,,,,,,,,,11.33,
7515744,LAVENDER SHEA 3.4 OUNCES,HEALTH AND BEAUTY,13,65.0,77715,8.27,11.99,,7.16,,,,,,,,,,,,,,,,,,,,,7.16,0.310258548791
7515752,PROGESTACARE FOR WOMEN 4 OUNCES,HEALTH AND BEAUTY,13,65.0,77722,23.12,32.99,,19.9,,,,,,,,,,,,,,,,,,,,,19.9,0.299181570173
7515753,PROGESTACARE PLUS 4 OUNCES,HEALTH AND BEAUTY,13,65.0,77723,23.12,32.99,,19.9,,,,,,,,,,,,,,,,,,,,,19.9,0.299181570173
7515852,HYALURONIC DMAE LIFT FIRM CREAM 1.7 O,HEALTH AND BEAUTY,13,65.0,7773,17.25,,,19.17,,,,,,,,,,,,,,,,,,,,,19.17,
7516039,TURMERIC C ENLIGHTEN SERUM 1.1 OUNCES,HEALTH AND BEAUTY,13,65.0,77779,17.25,,,15.72,,,,,,,,,,,,,,,,,,,,,15.72,
7516040,PROBIOTIC C RENEWAL CREAM 1.7 OUNCES,HEALTH AND BEAUTY,13,65.0,7778,17.25,24.99,,19.99,,,,,,,,,,,,,,,,,,,,,19.99,0.309723889556
7516041,ARGAN OMEGA NAT GLOW TREATMENT 1.9 OU,HEALTH AND BEAUTY,13,65.0,77780,17.25,24.99,,13.99,,,,,,,,,,,,,,,,,,,,,13.99,0.309723889556
7516084,OMEGAX VITAMIN A CREME 3.3 OUNCES,HEALTH AND BEAUTY,13,65.0,77812,13.08,,,18.95,,,,,,,,,,,,,,,,,,,,,18.95,
7516159,PASSION FRUIT SMOOTH BODY BUTTER 8 OUNC,HEALTH AND BEAUTY,13,65.0,77822,11.08,15.99,,11.19,,,,,,,,,,,,,,,,,,,,,11.19,0.307066916823
7516170,LAVENDER AURA GLOW 8 OUNCES,HEALTH AND BEAUTY,13,65.0,77832,8.35,11.99,,41.34,,,,,,,,,,,,,,,,,,,,,41.34,0.303586321935
7516303,H BALM CLEANSE BAR 3.5 OZ,HEALTH AND BEAUTY,13,65.0,7786,8.83,12.99,,9.55,,,,,,,,,,,,,,,,,,,,,9.55,0.320246343341
7517655,OLIVE OIL SHAMPOO UNSCENTED 12 OZ,HEALTH AND BEAUTY,13,45.0,77965,9.61,13.99,,8.59,,,,,,,,,,,,,,,,,,,,,8.59,0.31308077198
7530826,ARGAN OIL PLUS DEEP CONDITIONER 5.8 OZ,HEALTH AND BEAUTY,13,45.0,78034,8.83,12.99,,7.99,,,,,,,,,,,,,,,,,,,,,7.99,0.320246343341
