shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
3572969,MARIA,FOOTWEAR,67,88.0,53237,120.0,199.95,,159.96,,,,,,,,,,,,,,,,,,,,,159.96,0.399849962491
6395924,PEAK BOOT SCRUBBER,FOOTWEAR,67,64.0,19821,7.96,19.99,,8.89,,,,,,,,,,,,,,,,,,,,,8.89,0.60180090045
4916342,CUFF SLIPPER SOCK W ANTI-SKID,FOOTWEAR,54,42.0,37706,6.5,16.5,,,,,,,,,,,,,,,,,,,,16.94,,,16.94,0.606060606061
7216685,ABBY-P4 SZ 3,FOOTWEAR,36,1.0,6830,9.0,,,16.76,,,,,,,,,,,,,,,,,,,,,16.76,
8888737,PUMP POUCHES NO SIZE,FOOTWEAR,67,64.0,9617,4.5,9.0,,,,,,,,,,,,,,,,,,,,6.36,,,6.36,0.5
8953653,TOE BEDS SZ 6,FOOTWEAR,67,64.0,9618,3.25,6.0,,3.57,,,,,,,,,,,,,,,,,,3.57,,,3.57,0.458333333333
8953700,FOOT THONGS NO SIZE,FOOTWEAR,67,64.0,9616,4.5,9.0,,,,,,,,,,,,,,,,,,,,5.98,,,5.98,0.5
