shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
3684257,CORELLE LIVINGWARE TREE BIRD 16-PIECE DI,HOME,24,10.0,46154,28.44,,,,,,,,,,,,,,,,,,,,,,40.97,,40.97,
3684264,CORELLE VIVE DAZZLING WHITE 16-PIECE DIN,HOME,24,10.0,46160,43.69,,,,,,,,,,,,,,,,,,,69.99,,,55.0,,55.0,
3684273,CORELLE LIVINGWARE WINTER FROST WHITE 5-,HOME,24,10.0,46169,20.8,,,19.99,,,,,,,,,,,,,,,,19.99,,19.99,,,19.99,
3686066,SPRING FLING BY KATHIE MCCURDY 12X24 CAN,HOME,24,11.0,46172,27.56,34.45,,25.15,,,,,25.15,,,,,,,,,,,,,30.1,,,25.15,0.2
3686068,THE HEART IS GLORIOUS MACHINE BY KATHIE,HOME,24,11.0,46174,27.56,34.45,,14.96,,,,,,,,,,,,,,,40.59,,,34.45,,,14.96,0.2
3686070,SUMMER SKY BY KATHIE MCCURDY 18X24 CANVA,HOME,24,11.0,46175,27.24,34.05,,31.35,,,,,,,,,,,,,,,,,,,,,31.35,0.2
3686073,GARDEN MAGIC BY KATHIE MCCURDY - 16X24 C,HOME,24,11.0,46178,25.98,32.47,,21.02,,,,,,,,,,,,,,,,,,32.35,,,21.02,0.199876809362
3686075,POT OF WISHES BY KATHIE MCCURDY 16X24 CA,HOME,24,11.0,46179,27.56,34.45,,31.45,,,,,,,,,,,,,,,,,,,,,31.45,0.2
3686077,VIVACIOUS VIOLAS BY KATHIE MCCURDY 16X24,HOME,24,11.0,4618,25.98,32.47,,28.99,,,,,,,,,,,,,,,,,,,,,28.99,0.199876809362
3686078,VERANDA BY KATHIE MCCURDY - 16X24 CANVAS,HOME,24,11.0,46180,25.98,32.47,,15.06,,,,,,,,,,,,,,,,,,,,,15.06,0.199876809362
3686085,THE SEED THAT GOT AWAY KATHIE MCCURDY- 2,HOME,24,11.0,46189,46.83,60.35,,60.35,,,,,,,,,,,,,,,,,,,,,60.35,0.224026512013
3686087,21 BY KATHIE MCCURDY -18X24 CANVAS ART R,HOME,24,11.0,46190,26.4,33.0,,20.81,,,,,,,,,,,,,,,,,,,75.99,,20.81,0.2
3686090,SUMMER S LAST CHANCE BY KATHIE MCCURDY 1,HOME,24,11.0,46193,26.4,33.0,,28.37,,,,,,,,,,,,,,,,,,,75.99,,28.37,0.2
3686095,SCARLETT O HARA MORNING GLORY BY KATHIE,HOME,24,11.0,46204,26.4,33.0,,21.39,,,,,,,,,,,,,,,,,,,75.99,,21.39,0.2
3686098,WILD ROSES BY KATHIE MCCURDY 16X24 CANVA,HOME,24,11.0,4621,26.4,33.0,,32.35,,,,,,,,,,,,,,,,,,,,,32.35,0.2
3686103,PANSY WINDOW BY KATHIE MCCURDY 16X24 CAN,HOME,24,11.0,46219,26.4,33.0,,29.59,,,,,,,,,,,,,,,,,,,,,29.59,0.2
3686105,SUMMER MORNING BY KATHIE MCCURDY 24X24 C,HOME,24,11.0,46224,34.27,42.84,,28.33,,,,,,,,,,,,,,,,,,,90.99,,28.33,0.200046685341
3686109,DAFFODILS ON PAPER BY KATHIE MCCURDY 18X,HOME,24,11.0,46230,27.56,35.54,,35.54,,,,,,,,,,,,,,,,,,,77.99,,35.54,0.224535734384
3686112,THUMBELINA BUTTERFILY PETTICOAT KATHIE M,HOME,24,11.0,46238,27.24,34.05,,16.67,,,,,,,,,,,,,,,39.19,,,,,,16.67,0.2
3686113,THUMBELINA WOODLAND GOWN BY KATHIE MCCUR,HOME,24,11.0,4624,27.24,34.45,,15.75,,,,,,,,,,,,,,,39.19,,,,77.99,,15.75,0.209288824383
3686119,HARVEST MOON BY KATHIE MCCURDY 18X24 CAN,HOME,24,11.0,46266,27.24,34.05,,21.97,,,,,,,,,,,,,,,,,,,77.99,,21.97,0.2
3686120,VINEYARD BY KATHIE MCCURDY 16X24 CANVAS,HOME,24,11.0,46267,26.4,33.0,,21.08,,,,,,,,,,,,,,,,,,,,,21.08,0.2
3686156,FRIVOLITY BY KATHIER MCCURDY 16X24 CANVA,HOME,24,11.0,4627,25.98,32.47,,15.64,,,,,,,,,,,,,,,,,,,,,15.64,0.199876809362
3686157,ENTANGLED BY KATHIE MCCURDY 16X24 CANVAS,HOME,24,11.0,46270,26.4,33.0,,29.67,,,,,,,,,,,,,,,40.39,,,,,,29.67,0.2
3686158,DEEP PURPLE BY KATHIE MCCURDY 16X24 CANV,HOME,24,11.0,46271,26.4,33.0,,20.41,,,,,,,,,,,,,,,40.39,,,32.35,,,20.41,0.2
3686159,DANCING DAFFODILS BY KATHIE MCCURDY 16X2,HOME,24,11.0,46272,26.4,33.0,,28.49,,,,,30.02,,,,,,,,,,40.39,,,,,,28.49,0.2
3686164,1947 BY KATHIE MCCURDY -18X24 CANVAS ART,HOME,24,11.0,46277,27.56,34.45,,24.08,,,,,,,,,,,,,,,,,,,,,24.08,0.2
3686169,THUMBELLINA COTILLION IN THE FOREST BY K,HOME,24,11.0,46281,26.4,33.0,,21.25,,,,,26.64,,,,,,,,,,,,,,,,21.25,0.2
3686171,PINK COSOM BY KATHIE MCCURDY 16X24 CANVA,HOME,24,11.0,46283,26.4,35.85,,35.85,,,,,,,,,,,,,,,,,,,,,35.85,0.26359832636
3686176,TERRACOTTA BY KATHIE MCCURDY 14X24 CANVA,HOME,24,11.0,46288,25.32,31.65,,21.61,,,,,27.09,,,,,,,,,,35.89,,,31.55,,,21.61,0.2
3686178,KATHIE MCCURDY MAGICAL GARDEN I CANVA,HOME,24,11.0,4629,39.29,49.11,,43.52,,,,,45.86,,,,,,,,,,,,,,101.99,,43.52,0.199959275097
3686179,KATHIE MCCURDY MAGICAL GARDEN II CANV,HOME,24,11.0,46290,39.29,49.11,,30.4,,,,,38.1,,,,,,,,,,,,,46.75,101.99,,30.4,0.199959275097
3686180,KATHIE MCCURDY PALM AT NIGHT CANVAS A,HOME,24,11.0,46291,39.29,49.11,,26.88,,,,,37.4,,,,,,,,,,,,,,,,26.88,0.199959275097
3686181,KATHIE MCCURDY PINK ROSE CANVAS ART,HOME,24,11.0,46292,39.29,70.99,,21.71,,,,,,,,,,,,,,,55.19,,,,,,21.71,0.446541766446
3686182,KATHIE MCCURDY ROSE HIPS CANVAS ART,HOME,24,11.0,46293,39.29,70.99,,20.11,,,,,,,,,,,,,,,,,,,,,20.11,0.446541766446
3686183,KATHIE MCCURDY AUTUMN CLEMATIS CANVAS,HOME,24,11.0,46294,39.29,49.11,,22.45,,,,,,,,,,,,,,,55.19,,,46.75,101.99,,22.45,0.199959275097
3686184,KATHIE MCCURDY TROPICANA CANVAS ART,HOME,24,11.0,46295,46.32,57.9,,35.22,,,,,,,,,,,,,,,,,,,,,35.22,0.2
3687093,SOUTH SHORE WILLOW COLLECTION FULL 54-IN,HOME,8,55.0,24970,67.25,89.99,,89.99,,,,,81.54,,,,,,,,,,,,89.99,90.0,126.03,,81.54,0.25269474386
3687094,SOUTH SHORE WILLOW COLLECTION FULL 54-IN,HOME,8,55.0,24971,67.25,87.29,,,,,,,81.54,,,,,,,,,,,,99.99,90.0,,,81.54,0.229579562378
3687098,SOUTH SHORE LIBRA COLLECTION NIGHT STAND,HOME,8,55.0,24975,29.25,36.99,,36.99,,,,,38.1,,,,,,,,,,,,39.99,38.75,,,36.99,0.209245742092
