shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
6889242,7 FLOCKED ALPINE TREE WITH 300 WARM WHI,OUTDOOR LIVING SEASONAL,71,51.0,48344,158.85,186.29,,,,,,,,,,223.0,,,,,,,,,,,,,223.0,0.147297224757
6892426,MEDIUM GRILL COVER,OUTDOOR LIVING SEASONAL,71,22.0,36021,19.35,25.05,,26.0,,,,,,,,28.99,,39.95,,,,,48.98,,,,43.99,,26.0,0.22754491018
7109416,MAYFAIR 36 FIRE PIT,OUTDOOR LIVING SEASONAL,71,28.0,18295,275.0,366.67,,374.99,,,,,,,,448.98,,,,,,,,,,,,,374.99,0.25000681812
7644033,TALL COMMERCIAL NATURAL GAS STAINLESS S,OUTDOOR LIVING SEASONAL,71,28.0,3672,291.0,388.0,,,,,,,,,,,,,,,,,436.99,,,386.92,397.99,,386.92,0.25
7894756,9 X9 H BROWN ROUND SQUARE FLAMEPOT WITH,OUTDOOR LIVING SEASONAL,71,28.0,45035,27.45,49.39,,53.69,,,,,,,,,,,,,,,,,,,,,53.69,0.444219477627
8087494,BLAINVILLE 40 FIRE PIT,OUTDOOR LIVING SEASONAL,71,28.0,43089,193.0,299.0,,308.96,,,,,,,,,,,,,,,,,,308.96,339.99,,308.96,0.354515050167
8092679,CAMELOT 12 X 12 LOUVERED PERGOLA,OUTDOOR LIVING SEASONAL,71,28.0,43145,1949.99,2599.99,,,,,,,2368.99,,,,,2999.99,,,,,,,,,2299.99,,2299.99,0.250000961542
8408615,50 CHEYENNE GARLAND,OUTDOOR LIVING SEASONAL,71,51.0,46099,95.14,126.89,,,,,,,,,,,,,,,,,137.99,,,,154.99,,137.99,0.250216723146
8409478,UNLIT 84 INCH DOUGLAS FIR WREATH,OUTDOOR LIVING SEASONAL,71,51.0,46185,128.76,143.99,,,,,,,,,,,,,,,,,,,,,179.99,,179.99,0.105771234113
8409504,50 CAMDON FIR GARLAND,OUTDOOR LIVING SEASONAL,71,51.0,46208,65.42,82.79,,,,,,,,,,,,,,,,,,,,,104.99,,104.99,0.20980794782
8409505,50 CAMDON FIR GARLAND,OUTDOOR LIVING SEASONAL,71,51.0,46209,83.82,115.2,,,,,,,,,,128.0,,,,,,,166.99,,,,195.99,,128.0,0.272395833333
8538098,GRACEFIELD 7PC DINING SET,OUTDOOR LIVING SEASONAL,71,28.0,44455,906.0,1208.0,,,,,,,1132.82,,,1819.35,,,,,,,,,,1468.18,1799.99,,1132.82,0.25
8554873,BISCAYNE BLACK 5PC DINING SET WITH ARM C,OUTDOOR LIVING SEASONAL,71,28.0,49957,600.0,,,765.85,,,,,,,,772.0,,,,,,,,,,,,,765.85,
8869927,DELUXE DIGITAL ELECTRIC SMOKER,OUTDOOR LIVING SEASONAL,71,22.0,50184,317.0,,,314.98,399.99,349.99,,,,,,399.0,,379.0,,,,,,,,,,,314.98,
1074601,BERKLEY 4PC CASUAL PATIO SEATING SET,OUTDOOR LIVING SEASONAL,71,28.0,42309,1599.9,2609.99,,2640.99,,,,,,,,,,,,,,,,,,,,,2640.99,0.387009145629
1074826,HAMPTON 5PC RESIN WICKER PATIO SECTIONAL,OUTDOOR LIVING SEASONAL,71,28.0,42323,2799.98,3863.51,,3863.51,,,,,,,,,,,,,,,,,,,6099.99,,3863.51,0.275275591366
13003621,SIMPLY GRILLING NONSTICK GRILLING BASKET,OUTDOOR LIVING SEASONAL,71,22.0,99583,14.66,17.25,,14.88,,,,,14.88,,,,,,,,,,,,,15.05,,,14.88,0.150144927536
13003633,ALL FOODS GAS GRILL,OUTDOOR LIVING SEASONAL,71,22.0,99589,135.0,179.99,,131.87,179.99,199.99,,,152.1,199.99,,179.99,,,,,,,,,,,,,131.87,0.249958331018
1430178,COTTON ROPE HAMMOCK - DOUBLE NATURAL,OUTDOOR LIVING SEASONAL,71,28.0,42327,38.0,,,44.01,,,,,44.01,,,59.97,,,,,,,,,,,,,44.01,
1488250,3 BURNER IR GAS GRILL,OUTDOOR LIVING SEASONAL,71,22.0,50669,232.0,,,,,309.99,,,,,,,,,,,,,,,,,,,309.99,
1488251,2 BURNER IR GAS GRILL,OUTDOOR LIVING SEASONAL,71,22.0,5067,253.0,,,,,329.99,,,,,,,,,,,,,,,,,,,329.99,
1596119,SET OF 2 1239 LED BLUE FLAT ROPE LIGH,OUTDOOR LIVING SEASONAL,71,53.0,40992,13.1,16.03,,23.15,,,,,22.81,,,,,,,,,,50.55,,,,,,22.81,0.182782283219
1597923,MADISON LAMP POST,OUTDOOR LIVING SEASONAL,71,28.0,41006,64.99,86.65,,86.65,,,,,86.65,,,,,,,,,,,,,,106.99,,86.65,0.249971148298
1597925,MIRAGE PERGOLA,OUTDOOR LIVING SEASONAL,71,28.0,41008,844.99,1144.45,,,,,,,1144.45,,,1362.89,,,,,,,,,,,1018.99,,1018.99,0.261662807462
1785511,WINONA FIREPIT,OUTDOOR LIVING SEASONAL,71,28.0,25305,67.0,,,,,,,,100.46,,,,,,,,,,,,,,,,100.46,
1810593,18 RED SEQUIN BOW 2 BAG,OUTDOOR LIVING SEASONAL,71,56.0,1153,14.78,30.99,,33.21,,,,,,,,,,,,,,,,,,,,,33.21,0.523071958696
1810595,55 RED BALL FINIAL,OUTDOOR LIVING SEASONAL,71,56.0,11626,48.28,70.45,,70.45,,,,,,,,,,,,,,,73.99,,,,,,70.45,0.314691270405
1812511,4 BABY BLUE BALL ORNAMENT,OUTDOOR LIVING SEASONAL,71,56.0,11865,16.3,26.9,,31.75,,,,,,,,,,,,,,,,,,,,,31.75,0.39405204461
1812833,12 ANTIQUE GOLD FINIAL,OUTDOOR LIVING SEASONAL,71,56.0,13695,16.3,26.34,,29.27,,,,,,,,,,,,,,,,,,,,,29.27,0.381169324222
1817657,62 CANDY FINIAL RED-WHITE-GREEN,OUTDOOR LIVING SEASONAL,71,56.0,14007,174.08,206.29,,229.21,,,,,,,,,,,,,,,,,,,,,229.21,0.156139415386
1817734,13 GOLD MATTE-GLITTER FINIAL,OUTDOOR LIVING SEASONAL,71,56.0,14036,9.8,18.35,,20.39,,,,,,,,,,,,,,,,,,,,,20.39,0.465940054496
1817821,30 SILVER 3 FINISH RADICAL SNOWFLAKE,OUTDOOR LIVING SEASONAL,71,56.0,14344,98.38,152.99,,137.5,,,,,,,,,,,,,,,137.59,,,,,,137.5,0.356951434734
1817830,7 LIME FINIAL,OUTDOOR LIVING SEASONAL,71,56.0,14410,11.71,18.89,,24.14,,,,,,,,,,,,,,,,,,,,,24.14,0.380095288512
1820946,60 CANDY CANE RED-WHITE-GREEN,OUTDOOR LIVING SEASONAL,71,56.0,22335,37.26,54.74,,60.82,,,,,,,,,,,,,,,,,,,,,60.82,0.319327731092
1821021,13 BURGUNDY MATTE-GLITTER FINIAL,OUTDOOR LIVING SEASONAL,71,56.0,2407,9.8,15.3,,17.0,,,,,,,,,,,,,,,,,,,,,17.0,0.359477124183
1824011,7 BLACK FINIAL,OUTDOOR LIVING SEASONAL,71,56.0,40430,11.71,18.89,,23.19,,,,,,,,,,,,,,,,,,,,,23.19,0.380095288512
1824014,2.4 RED BALL ORNAMENT,OUTDOOR LIVING SEASONAL,71,56.0,40434,11.04,17.98,,21.32,,,,,,,,,,,,,,,,,,,,,21.32,0.385984427141
1827038,4 EMERALD BALL ORNAMENT,OUTDOOR LIVING SEASONAL,71,56.0,41286,16.3,24.29,,26.99,,,,,,,,,,,,,,,,,,,,,26.99,0.32894195142
1833459,23 RED MATTE-GLITTER FINIAL,OUTDOOR LIVING SEASONAL,71,56.0,42294,26.6,28.16,,30.37,,,,,,,,,,,,,,,,,,,,,30.37,0.0553977272727
1833966,9 BURGUNDY SHINY FACETED BALL GARLAND,OUTDOOR LIVING SEASONAL,71,56.0,42299,13.44,22.77,,25.3,,,,,,,,,,,,,,,,,,,,,25.3,0.409749670619
1833968,12 ANTIQUE GOLD FOIL FINISH BALL,OUTDOOR LIVING SEASONAL,71,56.0,42306,24.64,35.03,,38.92,,,,,,,,,,,,,,,,,,,,,38.92,0.29660291179
1833971,8 RED CANDY GLITTER SWIRL DIAMOND,OUTDOOR LIVING SEASONAL,71,56.0,42335,8.18,,,19.12,,,,,,,,,,,,,,,,,,,,,19.12,
1833980,7 TURQUOISE FINIAL,OUTDOOR LIVING SEASONAL,71,56.0,42358,11.71,18.89,,24.38,,,,,,,,,,,,,,,,,,,,,24.38,0.380095288512
1833983,2.4 LIME BALL ORNAMENT,OUTDOOR LIVING SEASONAL,71,56.0,42366,11.04,19.43,,21.73,,,,,,,,,,,,,,,,,,,,,21.73,0.431806484817
1835494,2.75 WINE BALL ORNAMENT,OUTDOOR LIVING SEASONAL,71,56.0,47098,12.35,20.42,,22.69,,,,,,,,,,,,,,,,,,,,,22.69,0.395200783546
1877523,PARKSVILLE GAZEBO,OUTDOOR LIVING SEASONAL,71,28.0,11116,179.0,,,261.99,,,,,278.09,,,,,,,,,,,,,,,,261.99,
