shc_item_id,shc_item_desc,business_unit,sears_div_nbr,sears_ln_nbr,sears_itm_nbr,unit_cost,starting_price,Abt Electronics,Amazon,Bed Bath and Beyond,BestBuy,Dick s Sporting Goods,Harbor Freight Tools,Home Depot,JC Penney,Kohls,Lowes,Macys,Menards,NordicTrack,Northern Tool,Office Depot,P.C. Richard Son,Staples,Target,ToysRUs,Walmart,Wayfair,hhgregg,min comp price,MR_current
2591091,CONTACT POCKETTACK MCONTACT POCKETTACK M,TOOLS,34,88.0,16389,90.99,125.77,,125.77,,,,,129.54,,,171.43,,,,,,,,,,,,,125.77,0.276536534945
2951032,POLKA DOT PIGGY PEEL STICK WALL DECALS,TOOLS,30,88.0,20768,7.49,19.99,,,,,,,,,,,,13.99,,,,,,,,,,,13.99,0.625312656328
31648311,PLUG IN CO ALARM WITH BATTERY BACKUP,TOOLS,9,54.0,57198,15.49,22.72,,19.94,24.99,26.99,,,22.72,,,,,,,,,,,19.99,,19.94,34.99,,19.94,0.318221830986
3245163,WINNIE THE POOH - POOH FRIENDS PEEL,TOOLS,30,88.0,20614,8.65,33.99,,10.15,,,,,,,,,,15.99,,,,,15.99,,14.99,13.2,16.99,,10.15,0.74551338629
3294676,SESAME STREET PEEL STICK BORDER,TOOLS,30,23.0,20696,8.65,10.81,,9.43,,,,,9.43,,,,,15.99,,,,,15.99,,15.99,13.31,,,9.43,0.199814986124
3309091,DOT PEEL STICK BORDER - PURPLE,TOOLS,30,88.0,20742,8.49,10.61,,8.01,,,,,,,,,,15.99,,,,,,,16.99,,,,8.01,0.199811498586
3625443,RYAN NYQUIST FATHEAD,TOOLS,30,88.0,21529,53.99,89.99,,,,,,,,,89.99,,,,,,,,,,89.99,,,,89.99,0.400044449383
3646385,CARBIDE TIPPED SAW BLADE FOR KS 115,TOOLS,9,88.0,31098,14.1,22.12,,22.8,,,,,22.8,,,22.8,,,,,,,,,,,,,22.8,0.362567811935
3671072,SUPER HERO SQUAD FATHEAD,TOOLS,30,88.0,1056,59.99,99.99,,,,,,,,,,,,,,,,,,109.99,99.99,,,,99.99,0.400040004
3960198,CLARO SINGLE GANG ROCKER WALLPLATE GLOSS,TOOLS,34,88.0,1712,2.99,7.19,,2.48,,,,,2.48,,,,,3.99,,,,,5.39,,,2.48,,,2.48,0.584144645341
4055591,NINTENDO - SUPER MARIO BROS. WII PEEL,TOOLS,30,23.0,1275,7.49,,,12.0,,,,,,,,,,13.99,,,,,13.99,,,,24.99,,12.0,
43517516,PLAY BALL P S BORDER,TOOLS,30,88.0,20542,7.49,9.45,,,,,,,,,,14.24,,13.99,,,,,,,,,,,13.99,0.207407407407
44966989,8 INCH KEY LOCK BLUECASH BOX WITH COIN,TOOLS,9,88.0,12853,7.65,13.95,,13.95,,,,,13.95,,,,,,,,,,,,,16.69,32.99,,13.95,0.451612903226
4686203,EXSTIK WATERPROOF CHLORINE METER,TOOLS,34,88.0,17263,110.49,138.11,,159.76,,,,,189.99,,,203.57,,,,,,,,,,,,,159.76,0.199985518789
5322790,110400 12-INCH PSA 150 GRIT ALUMINUM OXI,TOOLS,9,88.0,36147,25.4,33.99,,29.99,,,,,,,,,,36.42,,,,,,,,,,,29.99,0.252721388644
5697225,TSTUB30BK 30-INCH 12-GAUGE STEEL UNDERBO,TOOLS,9,88.0,36935,200.5,446.99,,,,,,,,,,,,235.9,,,,,,,,,,,235.9,0.551444103895
